Ladybird.ID,Sex,Age,Colour.morph,Mass.Ave,Width2,Length2,Avg_area,Mass.per.area,Tuck.mean,Right.mean,Shelter.mean,NSA.contact.mean,NSA.time.mean,P.contact.mean,P.time.mean
1,F,11,T,0.021,4,6,24,0.000875,0,4.336,5,0.666666667,322,6.333333333,NA
2,M,4,T,0.023,5,7,35,0.000657143,9.333333333,25.66666667,8,8.5,891,16,NA
3,F,NA,T,0.0303,6,10,49.5,0.000612121,0,18.70666667,20,0.666666667,84,7.666666667,1146.5
4,M,NA,M,0.03605,5,6,38.5,0.000936364,115.8,74.56666667,4.15,0.75,183.6666667,3,NA
6,M,NA,T,0.024,4,7,26,0.000923077,11.33333333,22.35666667,10.35,0,NA,1.5,77.5
7,M,4,T,0.0234,5,7,32.5,0.00072,3.061666667,8.891666667,11.1625,1.333333333,289,3,298
8,F,NA,T,0.0352,4,8,40,0.00088,0,3.836666667,5.625,0.666666667,137,2.5,196
9,M,11,T,0.0221,6,7,35.75,0.000618182,0,3.098333333,5,0,472.5,1,NA
10,M,11,T,0.0273,5,7,39.875,0.000684639,0,0.511666667,451.5,0.666666667,604,1.5,308
11,F,9,T,0.0257,NA,NA,20,0.001285,3.24,6.8,6.31,1,454,3.5,NA
12,F,17,T,0.0455,6,8,46.75,0.000973262,0,4.705,16.5325,2,511.81,4.333333333,NA
13,F,18,T,0.04375,6,9,54,0.000810185,0,1.89,18.51,2.666666667,720,13,664.5
14,F,11,T,0.029,4,6,29.25,0.000991453,2.333333333,17.995,17.375,0.5,641,4,NA
15,F,NA,T,0.0452,5,8,46.75,0.000966845,0.375,21.09833333,9.45,2,341.5,7.5,NA
16,M,,T,0.0254,5,7,32.5,0.000781538,0,6.875,6.2,0.333333333,454.375,4,NA
17,M,NA,T,0.0271,5,7,35,0.000774286,0.201666667,2.801666667,11.86,0,453.455,5,NA
18,M,18,T,NA,5,7,35,NA,NA,NA,NA,NA,NA,NA,NA
19,F,11,T,0.0312,6,7,36.75,0.00084898,0.081666667,2.815,7.1,1,360.05,0.666666667,610
20,M,9,M,0.02385,6,8,44,0.000542045,0.166666667,4.231666667,7.1325,0,NA,2,NA
21,F,11,T,0.02855,5,7,40,0.00071375,0.25,8.015,13,1,444.955,9.666666667,214.5
22,F,17,T,0.0227,5,7,38.5,0.00058961,4.5,20.89,10.14,0,213.1333333,0.666666667,141
23,F,17,T,0.035,5,7,35,0.001,0,2.503333333,9,0,NA,11,NA
24,F,11,M,0.037,6,7,38.5,0.000961039,0,3.375,8.9,0.333333333,15.35333333,3,9.17
25,M,14,T,0.0305,5,7,38.5,0.000792208,0,3.24,9,0,NA,1.5,331.2
26,F,9,T,0.03095,5,7,38.5,0.000803896,0,5.406666667,93.5625,0.333333333,190,4.333333333,700.5
27,M,11,T,0.0244,5,8,37.5,0.000650667,0,23.27666667,5.6425,1,173.5,1.666666667,NA
28,M,9,M,0.025,4,7,31.5,0.000793651,0.933333333,8.708333333,6.42,0,NA,7,NA
29,F,2,T,0.0318,5,8,37.5,0.000848,0,2.766666667,7.4,1,226,4,0
30,M,2,T,0.0217,5,8,36.25,0.000598621,0,1.1875,9.2,0.5,216.95,2.5,NA
31,M,9,T,0.035,NA,NA,31.5,0.001111111,0.1,1.456666667,106.255,0,60.605,2.5,513
32,F,9,T,0.0187,4,6,24,0.000779167,5.333333333,25.83333333,35,3.333333333,55.5,6.5,10
33,M,11,T,0.02855,5,7,32.5,0.000878462,3.333333333,13.42833333,20,1,106.41,8,140.5
34,F,4,T,0.03265,4,7,29.25,0.001116239,0,11.858,20,0,NA,7,NA
36,F,11,T,0.0227,4,6,29.25,0.000776068,0.1,5.006666667,7.0675,0,900,4.333333333,NA
37,F,11,M,0.0334,6,8,48,0.000695833,0.2,3.575,20,0,8.335,1,NA
38,F,17,T,0.03505,5,7,37.5,0.000934667,3.146666667,12.05666667,19.7,0,62.345,7.333333333,873
39,M,14,M,0.0258,5,7,32.5,0.000793846,0,182.1033333,19.71,0,624.47,0,0
40,M,2,T,0.019,5,7,29.25,0.000649573,38.91,91.61,16,1.666666667,92.5,8.333333333,100
41,M,7,M,0.0239,4,7,31.5,0.00075873,0.03,2.888333333,6.3,1.5,223.265,3,NA
42,F,9,M,0.0377,6,8,48,0.000785417,0,19.83333333,8.5,0.75,240.25,0.5,110
43,M,11,M,0.0295,4,7,31.5,0.000936508,1.946666667,7.213333333,5.07,0,NA,0,NA
44,F,7,M,0.02375,5,7,30,0.000791667,0,2.983333333,7,1,104,12,NA
45,M,11,M,0.0213,5,6,29.6875,0.000717474,0,5.373333333,452.3975,1,31,0,NA
46,F,9,T,0.0255,NA,NA,35,0.000728571,0,11.6,9,0,524,1,NA
47,F,7,T,0.0253,5,6,32.5,0.000778462,23.1,16.43333333,12,0,12,0,NA
48,M,4,T,0.036,4,7,28,0.001285714,25.40333333,31.85666667,8,0,NA,1,543.25
49,F,2,T,0.02805,6,6,36,0.000779167,3.255,16.215,7.5,0,10.64,0,24.03
50,M,9,T,0.0213,5,6,30.25,0.000704132,0,14.215,8,0,71.205,2,NA
51,F,2,T,0.02425,5,7,35,0.000692857,4,28.16666667,10.5,1,310.5,4.5,465
52,M,9,T,0.0265,5,7,32.5,0.000815385,4.666666667,7.336666667,11.345,0.5,53.66,2.5,NA
53,F,2,T,0.0254,5,8,31.5,0.000806349,0,11.61,7.24,0.666666667,NA,2,NA
54,F,2,T,0.0311,5,8,40,0.0007775,4.781666667,16.78166667,5.265,0.333333333,2,6,NA
55,F,9,T,0.0357,5,8,35,0.00102,1.335,6.423333333,7.9325,0.666666667,408.3333333,9,NA
56,M,4,T,0.0245,4,5,22,0.001113636,29.9,38.16666667,11,0.666666667,168,2,10
57,M,2,T,0.01645,4.5,5.5,24.4375,0.000673146,0,111.0475,13,0.5,4,2.666666667,NA
58,M,9,T,0.02125,4,7,28,0.000758929,17.16,3.333333333,15.0525,0,1.3,0,NA
59,F,2,T,0.0293,6,7,45.5,0.000643956,0,10.21333333,10.94,0.333333333,34.91,1,138
60,M,17,T,0.0284,5,8,37.5,0.000757333,0.116666667,6.551666667,8.4,1.5,150.75,5.5,20
61,F,14,T,0.0354,5,7,35,0.001011429,0,2.176666667,12.3,1,257.3166667,2.5,635.5
62,M,9,T,0.023,5,7,35,0.000657143,2.666666667,7.666666667,15,0,NA,2,NA
63,F,18,T,0.0345,5,6,35,0.000985714,0,4.401666667,8.49,1,3.38,1.5,189
64,M,14,T,0.03,4,6,27,0.001111111,5.833333333,20.76666667,18.4,0.5,104.02,4,367
65,M,7,T,0.02575,NA,NA,35,0.000735714,0.083333333,12.18,10.09,0.5,0,6.5,0
66,F,2,M,0.0295,6,8,48,0.000614583,0,0.046666667,7.25,1,292,12,NA
67,M,7,T,0.02675,5,5,30,0.000891667,190.5,28.50333333,19.2,1,402.25,7.5,409.75
69,M,7,T,0.0224,5,8,44,0.000509091,25.5,38.41666667,6.2,0.5,454.705,4.666666667,NA
70,M,14,T,0.0346,5,7,32.5,0.001064615,0,3.668333333,7.4525,0.333333333,528,5,NA
71,F,9,T,0.0312,5,7,29.25,0.001066667,29.8,6,7.1325,2,176.3333333,3,NA
72,M,11,T,0.02495,5.5,8,35.625,0.000700351,2.5,27.47333333,7.3325,0.5,158.515,12,NA
73,M,14,M,0.0331,4,7,33.75,0.000980741,0,4.616666667,91.0175,0,NA,5,NA
74,F,7,T,0.0218,6,7,40.25,0.000541615,0,10.20333333,6,0,NA,1.666666667,0
75,M,7,T,0.0285,7,9,63,0.000452381,0,1.73,NA,0.25,344,15,NA
76,F,7,T,0.0321,5,6,30,0.00107,0,17.69333333,586,0,39,5,423
78,M,9,T,0.02145,5,7,35,0.000612857,0,53.42833333,20,0.5,NA,0,0
79,F,14,M,0.03745,5,6,32.5,0.001152308,29.7,580.6616667,6.01,0.5,600.6666667,2.333333333,NA
80,M,1,M,0.0193,5,7,35,0.000551429,1.515,3.926666667,7.1175,1,304,1,NA
82,F,1,T,0.01475,4,7,32.625,0.000452107,1.583333333,205.41,17,1,305,3,40
83,F,1,T,0.02975,NA,NA,37.5,0.000793333,0,7.526666667,5.4525,0.333333333,347.8266667,6,NA
84,F,1,T,0.0249,5,7,35,0.000711429,0,2.59,7,0,NA,0,NA
89,F,1,T,0.02,4,6,24,0.000833333,0,6.666666667,11,0,NA,2,NA
99,F,2,M,0.0192,NA,NA,NA,NA,0,2.5,NA,1,80.5,10,873
