species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,date,penguin_id
Adelie,Torgersen,39.1,18.7,181,3750,male,11/11/2007,N1A1
Adelie,Torgersen,39.5,17.4,186,3800,female,11/11/2007,N1A2
Adelie,Torgersen,40.3,18,195,3250,female,16/11/2007,N2A1
Adelie,Torgersen,NA,NA,NA,NA,NA,16/11/2007,N2A2
Adelie,Torgersen,36.7,19.3,193,3450,female,16/11/2007,N3A1
Adelie,Torgersen,39.3,20.6,190,3650,male,16/11/2007,N3A2
Adelie,Torgersen,38.9,17.8,181,3625,female,15/11/2007,N4A1
Adelie,Torgersen,39.2,19.6,195,4675,male,15/11/2007,N4A2
Adelie,Torgersen,34.1,18.1,193,3475,NA,09/11/2007,N5A1
Adelie,Torgersen,42,20.2,190,4250,NA,09/11/2007,N5A2
Adelie,Torgersen,37.8,17.1,186,3300,NA,09/11/2007,N6A1
Adelie,Torgersen,37.8,17.3,180,3700,NA,09/11/2007,N6A2
Adelie,Torgersen,41.1,17.6,182,3200,female,15/11/2007,N7A1
Adelie,Torgersen,38.6,21.2,191,3800,male,15/11/2007,N7A2
Adelie,Torgersen,34.6,21.1,198,4400,male,16/11/2007,N8A1
Adelie,Torgersen,36.6,17.8,185,3700,female,16/11/2007,N8A2
Adelie,Torgersen,38.7,19,195,3450,female,12/11/2007,N9A1
Adelie,Torgersen,42.5,20.7,197,4500,male,12/11/2007,N9A2
Adelie,Torgersen,34.4,18.4,184,3325,female,16/11/2007,N10A1
Adelie,Torgersen,46,21.5,194,4200,male,16/11/2007,N10A2
Adelie,Biscoe,37.8,18.3,174,3400,female,12/11/2007,N11A1
Adelie,Biscoe,37.7,18.7,180,3600,male,12/11/2007,N11A2
Adelie,Biscoe,35.9,19.2,189,3800,female,12/11/2007,N12A1
Adelie,Biscoe,38.2,18.1,185,3950,male,12/11/2007,N12A2
Adelie,Biscoe,38.8,17.2,180,3800,male,10/11/2007,N13A1
Adelie,Biscoe,35.3,18.9,187,3800,female,10/11/2007,N13A2
Adelie,Biscoe,40.6,18.6,183,3550,male,12/11/2007,N17A1
Adelie,Biscoe,40.5,17.9,187,3200,female,12/11/2007,N17A2
Adelie,Biscoe,37.9,18.6,172,3150,female,10/11/2007,N18A1
Adelie,Biscoe,40.5,18.9,180,3950,male,10/11/2007,N18A2
Adelie,Dream,39.5,16.7,178,3250,female,09/11/2007,N21A1
Adelie,Dream,37.2,18.1,178,3900,male,09/11/2007,N21A2
Adelie,Dream,39.5,17.8,188,3300,female,09/11/2007,N22A1
Adelie,Dream,40.9,18.9,184,3900,male,09/11/2007,N22A2
Adelie,Dream,36.4,17,195,3325,female,16/11/2007,N23A1
Adelie,Dream,39.2,21.1,196,4150,male,16/11/2007,N23A2
Adelie,Dream,38.8,20,190,3950,male,16/11/2007,N24A1
Adelie,Dream,42.2,18.5,180,3550,female,16/11/2007,N24A2
Adelie,Dream,37.6,19.3,181,3300,female,13/11/2007,N25A1
Adelie,Dream,39.8,19.1,184,4650,male,13/11/2007,N25A2
Adelie,Dream,36.5,18,182,3150,female,16/11/2007,N26A1
Adelie,Dream,40.8,18.4,195,3900,male,16/11/2007,N26A2
Adelie,Dream,36,18.5,186,3100,female,19/11/2007,N27A1
Adelie,Dream,44.1,19.7,196,4400,male,19/11/2007,N27A2
Adelie,Dream,37,16.9,185,3000,female,16/11/2007,N28A1
Adelie,Dream,39.6,18.8,190,4600,male,16/11/2007,N28A2
Adelie,Dream,41.1,19,182,3425,male,13/11/2007,N29A1
Adelie,Dream,37.5,18.9,179,2975,NA,13/11/2007,N29A2
Adelie,Dream,36,17.9,190,3450,female,13/11/2007,N30A1
Adelie,Dream,42.3,21.2,191,4150,male,13/11/2007,N30A2
Adelie,Biscoe,39.6,17.7,186,3500,female,06/11/2008,N21A1
Adelie,Biscoe,40.1,18.9,188,4300,male,06/11/2008,N21A2
Adelie,Biscoe,35,17.9,190,3450,female,09/11/2008,N22A1
Adelie,Biscoe,42,19.5,200,4050,male,09/11/2008,N22A2
Adelie,Biscoe,34.5,18.1,187,2900,female,09/11/2008,N23A1
Adelie,Biscoe,41.4,18.6,191,3700,male,09/11/2008,N23A2
Adelie,Biscoe,39,17.5,186,3550,female,15/11/2008,N24A1
Adelie,Biscoe,40.6,18.8,193,3800,male,15/11/2008,N24A2
Adelie,Biscoe,36.5,16.6,181,2850,female,15/11/2008,N25A1
Adelie,Biscoe,37.6,19.1,194,3750,male,15/11/2008,N25A2
Adelie,Biscoe,35.7,16.9,185,3150,female,13/11/2008,N27A1
Adelie,Biscoe,41.3,21.1,195,4400,male,13/11/2008,N27A2
Adelie,Biscoe,37.6,17,185,3600,female,13/11/2008,N28A1
Adelie,Biscoe,41.1,18.2,192,4050,male,13/11/2008,N28A2
Adelie,Biscoe,36.4,17.1,184,2850,female,13/11/2008,N29A1
Adelie,Biscoe,41.6,18,192,3950,male,13/11/2008,N29A2
Adelie,Biscoe,35.5,16.2,195,3350,female,06/11/2008,N30A1
Adelie,Biscoe,41.1,19.1,188,4100,male,06/11/2008,N30A2
Adelie,Torgersen,35.9,16.6,190,3050,female,11/11/2008,N32A1
Adelie,Torgersen,41.8,19.4,198,4450,male,11/11/2008,N32A2
Adelie,Torgersen,33.5,19,190,3600,female,14/11/2008,N34A1
Adelie,Torgersen,39.7,18.4,190,3900,male,14/11/2008,N34A2
Adelie,Torgersen,39.6,17.2,196,3550,female,11/11/2008,N35A1
Adelie,Torgersen,45.8,18.9,197,4150,male,11/11/2008,N35A2
